yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality
2022-06-16,01:03:01,57.59,-5.43,2.6,1,7,0.3,NA,NA,KINLOCHEWE HIGHLAND
2022-06-17,07:33:27,54.479,-2.91,5.2,1.1,8,0.4,NA,NA,HARTSOP CUMBRIA
2022-06-17,17:32:15,53.147,0.833,10.9,1.6,6,0.1,NA,NA,SOUTHERN NORTH SEA
2022-06-19,06:53:10,54.124,-1.813,6.5,1.9,23,0.3,NA,NA,RAMSGILL N YORKSHIRE
2022-06-21,11:53:11,53.975,-3.074,8.3,1.7,11,0.4,NA,NA,IRISH SEA
2022-06-21,15:56:22,59.141,1.335,6.2,2.7,21,0.5,NA,NA,NORTHERN NORTH SEA
2022-06-22,21:20:25,55.089,-7.564,2.6,0.8,3,0.1,NA,NA,RATHMULLAN CO DONEGAL
2022-06-23,20:00:12,52.578,-2.882,11.5,1.6,15,0.3,NA,NA,WENTNOR SHROPSHIRE
2022-06-24,14:49:43,49.001,-2.346,4.2,1.9,8,0.2,NA,NA,ENGLISH CHANNEL
2022-06-25,03:08:22,55.911,-3.984,8.2,0.2,6,0.2,NA,NA,WATTSTON N LANARKSHIRE
2022-06-27,17:30:24,51.948,-3.043,13.5,1.3,6,0.3,NA,NA,LLANTHONY GWENT
2022-06-28,02:09:30,51.873,-2.596,16.5,0.5,5,0,NA,NA,ROSS-ON-WYE HEREF
2022-07-01,02:09:55,56.376,-5.75,5.2,1.3,7,0.3,NA,NA,MULL ARGYLL & BUTE
2022-07-04,13:54:47,53.113,-1.26,2.5,1.7,10,0.4,NA,NA,ASHFIELD NOTTS
2022-07-04,18:40:37,57.16,-5.569,4.9,1,6,0.3,NA,NA,ARNISDALE HIGHLAND
2022-07-05,05:36:32,49.524,-1.998,2.6,1.7,9,0.4,NA,NA,ENGLISH CHANNEL
2022-07-06,01:55:34,53.88,-2.123,14.1,1.5,16,0.3,NA,NA,COLNE LANCASHIRE
2022-07-06,18:47:10,54.245,-2.499,8.1,0.9,8,0.2,NA,NA,DENT CUMBRIA
2022-07-08,20:13:15,54.114,-1.813,6.7,1.2,11,0.3,NA,NA,RAMSGILL N YORKSHIRE
2022-07-12,12:51:26,55.806,-5.465,7.6,1.7,7,0.2,NA,NA,TARBERT ARGYLL & BUTE
2022-07-13,22:08:35,56.517,-4.208,8,0.5,6,0.4,NA,NA,LAWERS PERTH & KINROSS
2022-07-14,14:43:33,53.517,-2.559,13.3,2.4,22,0.3,NA,NA,LEIGH GTR MANCHESTER
2022-07-16,05:42:23,57.773,-5.603,7.6,1,8,0.4,NA,NA,POOLEWE HIGHLAND
2022-07-18,01:27:30,56.135,-4.175,3.3,0,5,0.1,NA,NA,KIPPEN STIRLING
2022-07-18,18:16:02,56.974,-5.482,8.4,0.5,6,0.5,NA,NA,LOCH NEVIS HIGHLAND
2022-07-19,03:06:01,56.732,-9.254,12.5,2.2,16,0.3,NA,NA,NORTH ATLANTIC OCEAN
2022-07-21,21:00:06,57.163,-5.55,4.4,1.1,9,0.3,NA,NA,ARNISDALE HIGHLAND
2022-07-25,02:35:55,55.105,-7.532,3.1,1.2,3,0.2,NA,NA,RATHMULLAN CO DONEGAL
2022-07-26,09:11:59,55.675,-5.804,11.5,0.7,6,0.2,NA,NA,GIGHA ARGYLL & BUTE
2022-07-28,01:05:27,54.095,-0.871,18.3,0.3,8,0.2,NA,NA,CRAMBECK N YORKSHIRE
2022-07-28,17:18:47,55.979,-4.268,6.3,0.3,7,0.2,NA,NA,STRATHBLANE STIRLING
2022-07-30,15:06:08,55.927,-3.983,10.7,0.4,6,0.1,NA,NA,WATTSTON N LANARKSHIRE
2022-07-30,19:24:06,54.774,-3.263,7.6,1.1,10,0.3,NA,NA,ASPATRIA CUMBRIA
2022-07-31,15:51:37,56.394,-4.294,3.7,1,6,0.3,2,NA,LOCHEARNHEAD STIRLING
2022-07-31,22:23:34,58.48,-2.817,5,1,6,0.4,NA,NA,WICK HIGHLAND
2022-08-01,00:29:24,53.464,-1.289,3.4,0.9,14,0.6,NA,NA,THRYBERGH S YORKSHIRE
2022-08-03,20:43:46,53.69,-3.883,4.8,1.3,9,0.4,NA,NA,IRISH SEA
2022-08-08,01:33:17,52.101,0.186,9.4,2.3,15,0.3,NA,NA,SAWSTON CAMBRIDGESHIRE
2022-08-09,21:05:12,55.538,-5.017,7.6,0.5,8,0.3,NA,NA,ARRAN NORTH AYRSHIRE
2022-08-10,04:31:09,57.506,-5.71,2.7,1,7,0.4,NA,NA,SHIELDAIG HIGHLAND
2022-08-11,13:32:57,51.577,-3.101,7.2,0.8,7,0.1,NA,NA,NEWPORT GWENT
2022-08-12,00:30:33,49.533,-9.4,10,2.4,11,0.2,NA,NA,CELTIC SEA
2022-08-14,20:30:12,53.237,-2.666,13.4,0.5,11,0.2,NA,NA,HATCHMERE CHESHIRE
2022-08-14,21:35:29,54.575,-2.783,7.2,0.6,7,0.3,NA,NA,BUTTERWICK CUMBRIA
2022-08-15,10:21:20,52.966,-4.354,9.1,0.9,5,0.1,NA,NA,LLANAELHAEARN GWYNEDD
2022-08-20,11:11:47,53.09,-1.327,2.6,1.1,7,0.5,NA,NA,ASHFIELD NOTTS
2022-08-20,13:44:22,51.646,-5.437,7.1,1.2,5,0.3,NA,NA,CELTIC SEA
2022-08-24,19:43:27,53.267,-4.672,16,0.6,5,0.1,NA,NA,ANGLESEY GWYNEDD
2022-08-25,17:23:55,52.402,3.007,10,2,23,0.6,NA,NA,SOUTHERN NORTH SEA
2022-08-25,22:26:51,52.205,2.804,10,1.8,12,0.5,NA,NA,SOUTHERN NORTH SEA
2022-08-26,01:47:11,61.804,4.129,19.1,4.2,27,0.6,3,NA,NORWEGIAN SEA
2022-08-30,08:18:53,52.165,-2.395,5.8,0.7,7,0.1,NA,NA,SUCKLEY WORCESTERSHIRE
2022-08-30,13:30:46,55.843,-6.189,7.1,1.3,8,0.3,NA,NA,ISLAY ARGYLL & BUTE
2022-09-05,07:45:02,51.615,-2.198,14,1.5,10,0.3,NA,NA,TETBURY GLOUCESTERSHIRE
2022-09-06,23:00:32,56.908,-4.816,7.6,0.8,7,0.4,NA,NA,ROYBRIDGE HIGHLAND
2022-09-07,21:14:39,55.358,-5.25,7.6,0.6,6,0.4,NA,NA,ARRAN NORTH AYRSHIRE
2022-09-08,21:12:03,55.357,-5.246,11.8,0.5,6,0.4,NA,NA,ARRAN NORTH AYRSHIRE
2022-09-09,12:50:40,54.139,-3.021,5.2,0.6,7,0.2,NA,NA,BARDSEA CUMBRIA
2022-09-09,15:42:21,51.972,-2.43,2.6,1.1,7,0.2,NA,NA,DYMOCK GLOUCESTERSHIRE
2022-09-11,03:40:27,53.108,-1.275,2.6,1.2,10,0.4,NA,NA,ASHFIELD NOTTS
2022-09-11,04:36:55,53.104,-1.286,2.5,1.1,10,0.5,NA,NA,ASHFIELD NOTTS
2022-09-15,17:00:52,52.111,-0.909,10.1,1,5,0.2,NA,NA,POTTERSPURY NORTHANTS
2022-09-17,06:11:50,59.767,2.281,10,2.4,11,0.3,NA,NA,NORTHERN NORTH SEA
2022-09-17,16:16:31,54.027,-3.333,13.6,1,11,0.3,NA,NA,IRISH SEA
2022-09-17,17:44:27,60.031,1.28,10,2.2,9,0.3,NA,NA,NORTHERN NORTH SEA
2022-09-18,08:24:50,52.951,-4.076,7,1.5,12,0.4,3,NA,PORTHMADOG GWYNEDD
2022-09-19,17:31:12,59.476,2.178,10,1.8,8,0.4,NA,NA,NORTHERN NORTH SEA
2022-09-22,00:36:28,54.085,-2.046,13.8,0.9,13,0.2,NA,NA,GRASSINGTON N YORKSHIRE
2022-09-23,12:29:09,54.313,-3.211,7.2,0.3,7,0.3,NA,NA,ULPHA CUMBRIA
2022-09-24,00:26:45,56.619,-5.561,6.9,0.4,6,0.4,NA,NA,STRONTIAN HIGHLAND
2022-09-25,00:58:59,51.063,-2.941,15.1,0.8,8,0.2,NA,NA,EAST LYNG SOMERSET
2022-09-25,08:40:33,54.32,-3.189,4.3,0.5,10,0.2,NA,NA,ULPHA CUMBRIA
2022-09-25,08:41:04,54.316,-3.239,7.9,0.3,3,0.2,NA,NA,ULPHA CUMBRIA
2022-09-26,07:39:05,52.108,-0.886,12.7,1.8,9,0.2,NA,NA,POTTERSPURY NORTHANTS
2022-09-27,01:31:49,57.695,-5.707,6.7,0.6,5,0.3,NA,NA,BADACHRO HIGHLAND
2022-09-27,01:34:11,57.696,-5.692,7.6,1,6,0.3,NA,NA,BADACHRO HIGHLAND
2022-09-27,02:00:56,57.701,-5.726,7.6,0.8,5,0.4,NA,NA,BADACHRO HIGHLAND
2022-09-27,02:39:08,52.627,-2.864,9.3,1.2,11,0.3,NA,NA,HABBERLEY SHROPSHIRE
2022-09-27,20:33:37,57.692,-5.722,7.7,1.3,8,0.5,NA,NA,BADACHRO HIGHLAND
2022-09-28,09:28:41,57.697,-5.712,7.1,1.1,6,0.5,NA,NA,BADACHRO HIGHLAND
2022-09-30,14:53:16,55.183,-3.649,11.8,1.8,14,0.3,NA,NA,AULDGIRTH D & G
2022-10-02,00:55:18,56.951,-5.386,7.9,0.7,7,0.3,NA,NA,KINLOCHARKAIG HIGHLAND
2022-10-02,14:58:39,51.789,-3.576,7.8,1.4,11,0.4,NA,NA,YSTRADFELLTE POWYS
2022-10-03,15:07:51,56.175,-3.884,6.5,1.2,11,0.5,NA,NA,BLAIRLOGIE STIRLING
2022-10-03,17:26:35,56.166,-3.893,7.8,0.6,9,0.3,NA,NA,BLAIRLOGIE STIRLING
2022-10-07,19:30:00,54.119,-1.796,6.6,0.5,9,0.3,NA,NA,RAMSGILL N YORKSHIRE
2022-10-11,08:37:12,53.131,-3.852,7.8,1.8,14,0.3,3,NA,LLANRWST CONWY
2022-10-13,03:32:39,54.55,-2.796,8.4,0.1,9,0.4,NA,NA,BAMPTON CUMBRIA
2022-10-13,17:42:56,53.87,-2.818,4.3,1.2,16,0.3,NA,NA,ST MICHAEL'S LANCASHIRE
2022-10-14,05:04:47,54.174,-2.215,9.3,0.8,11,0.2,NA,NA,HALTON GILL N YORKSHIRE
2022-10-14,16:28:10,54.569,-3.967,7.8,0.3,7,0.2,NA,NA,IRISH SEA
2022-10-18,02:47:41,52.869,-5.526,5.7,0.6,8,0.3,NA,NA,IRISH SEA
2022-10-19,19:33:30,56.156,-3.461,3.8,1,8,0.4,NA,NA,CLEISH PERTH & KINROSS
2022-10-24,21:45:52,53.555,-2.443,14.6,0.6,9,0.1,NA,NA,BOLTON GTR MANCHESTER
2022-10-25,18:42:02,50.206,-5.066,8.9,0.5,5,0.3,NA,NA,PENPOL CORNWALL
2022-10-26,19:21:04,50.366,-5.403,16.7,0.4,5,0,NA,NA,CELTIC SEA
2022-10-26,19:21:12,50.369,-5.402,16.6,0.5,5,0,NA,NA,CELTIC SEA
2022-10-27,04:24:26,57.374,-5.171,4.6,1.3,9,0.3,NA,NA,LOCH MONAR HIGHLAND
2022-10-27,12:27:52,52.08,-3.605,6.9,2,9,0.3,NA,NA,LLANWRTYD WELLS POWYS
2022-10-27,13:30:37,54.718,-2.979,8.6,1,12,0.2,NA,NA,MILLHOUSE CUMBRIA
2022-10-28,17:04:03,53.489,-2.817,14.3,1,14,0.2,NA,NA,KIRKBY MERSEYSIDE
2022-10-29,02:19:57,55.873,-4.913,6.4,0.3,6,0.2,NA,NA,WEMYSS BAY INVERCLYDE
2022-10-31,01:32:14,52.39,-2.261,8,0.7,8,0.2,NA,NA,KIDDERMINSTER WORCS
2022-10-31,17:26:35,57.001,-4.744,4.5,1.3,10,0.4,NA,NA,KILFINNAN HIGHLAND
2022-11-03,08:34:06,54.32,-3.227,7.6,0.3,6,0.2,NA,NA,ULPHA CUMBRIA
2022-11-03,15:29:34,56.407,-4.285,3.7,0.6,5,0.2,NA,NA,LOCHEARNHEAD STIRLING
2022-11-03,23:56:57,57.146,-5.562,3.8,1.4,9,0.2,2,NA,ARNISDALE HIGHLAND
2022-11-04,14:34:27,57.158,-5.608,7.1,0.8,6,0.1,NA,NA,ARNISDALE HIGHLAND
2022-11-05,10:20:02,51.424,-1.469,16.1,1.8,12,0.3,NA,NA,EDDINGTON BERKSHIRE
2022-11-06,21:10:49,51.921,-6.807,5,1.1,3,0.3,NA,NA,CELTIC SEA
2022-11-08,15:51:25,56.978,-5.559,8.2,0.9,6,0.4,NA,NA,LOCH NEVIS HIGHLAND
2022-11-12,02:08:03,52.12,-2.324,12.6,0.4,5,0.1,NA,NA,MALVERN WORCESTERSHIRE
2022-11-13,19:56:46,52.028,-2.823,4.3,0.6,6,0.1,NA,NA,CLEHONGER HEREF
2022-11-14,16:14:41,53.863,-2.316,12.7,1.3,17,0.2,NA,NA,BARLEY LANCASHIRE
2022-11-17,00:57:51,54.377,-3.168,5.7,0.2,5,0.4,NA,NA,SEATHWAITE CUMBRIA
2022-11-18,18:23:30,54.249,-3.859,14.7,0.7,10,0.3,NA,NA,IRISH SEA
2022-11-21,07:21:07,51.871,-2.451,10.7,1,5,0.1,NA,NA,LONGHOPE GLOS
2022-11-26,08:47:27,53.298,-2.094,5.8,1.7,12,0.2,NA,NA,BOLLINGTON CHESHIRE
2022-11-26,10:47:51,57.597,-5.457,2.6,1.2,8,0.2,NA,NA,TORRIDON HIGHLAND
2022-11-27,08:55:22,56.413,-5.68,2.6,1.1,7,0.2,NA,NA,MULL ARGYLL & BUTE
2022-11-29,00:30:09,57.593,-5.456,2.6,0.5,6,0.3,NA,NA,TORRIDON HIGHLAND
2022-12-03,18:27:24,54.219,-4.272,2.6,0.4,8,0.3,NA,NA,IRISH SEA
2022-12-05,01:48:09,51.047,-2.709,10.7,0.9,7,0.2,NA,NA,SOMERTON SOMERSET
2022-12-05,20:30:25,56.008,-5.123,7.6,1,11,0.4,NA,NA,CRAIGENDIVE ARGYLL/BUTE
2022-12-07,00:16:46,51.692,-4.168,12.4,1.1,5,0.1,NA,NA,LLANELLI DYFED
2022-12-08,04:26:52,54.671,-3.131,7.6,0.3,9,0.3,NA,NA,BASSENTHWAITE CUMBRIA
2022-12-11,05:10:52,56.373,-5.492,2.8,0.4,6,0.2,NA,NA,LERAGS ARGYLL & BUTE
2022-12-11,22:27:56,53.972,0.403,4.8,1.5,9,0.2,NA,NA,SOUTHERN NORTH SEA
2022-12-11,22:39:09,56.517,-5.646,2.6,0.7,6,0.3,NA,NA,INNINBEG HIGHLAND
2022-12-16,08:37:39,56.594,-4.115,7.6,0.9,7,0.5,NA,NA,GLENLYON PERTH/KINROSS
2022-12-16,10:26:40,57.649,-5.302,8.2,1,6,0.7,NA,NA,KINLOCHEWE HIGHLAND
2022-12-21,10:26:41,55.994,-5.24,4.6,1.3,8,0.2,NA,NA,GLENDARUEL ARGYLL/BUTE
2022-12-22,13:30:10,56.64,-5.665,7.6,1.4,6,0.3,NA,NA,STRONTIAN HIGHLAND
2022-12-22,16:04:27,55.921,-5.304,8.3,1,8,0.2,NA,NA,MELLDALLOCH ARGYLL/BUTE
2022-12-22,16:56:24,56.634,-5.649,7.8,0.9,6,0.3,NA,NA,STRONTIAN HIGHLAND
2022-12-25,10:50:50,55.242,-3.502,2.6,0.7,9,0.4,NA,NA,ST ANN'S D & G
2022-12-26,01:20:49,54.408,-2.817,2.6,0.9,6,0.2,NA,NA,STAVELEY CUMBRIA
2022-12-27,01:09:12,51.878,-3.051,17.5,2,14,0.3,NA,NA,LLANBEDR POWYS
2022-12-30,03:03:55,56.631,-5.677,8.7,0.9,5,0.2,NA,NA,STRONTIAN HIGHLAND
2023-01-01,03:48:59,57.217,-6.21,2.6,0.9,4,0.2,NA,NA,SKYE HIGHLAND
2023-01-02,21:06:19,54.265,-2.487,7.6,1.3,14,0.4,NA,NA,GAWTHROP CUMBRIA
2023-01-03,06:20:44,56.383,-5.853,2.2,1.7,9,0.3,3,NA,MULL ARGYLL & BUTE
2023-01-07,07:27:34,56.657,-5.657,6,2.3,13,0.3,3,NA,STRONTIAN
